"ID","post_title","post_type","guid"
"43044","Tous mobilisés pour nos salaires","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/illustration-salaire.jpg"
"43046","Tous mobilisés pour nos salaires","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/2179/62e7d6e60abb4.pdf"
"43074","SOPRA-STERIA : Communication CGT CSE – Juillet 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/2022-07-com-CSE-CGT_page-0001.jpg"
"43075","SOPRA-STERIA : Communication CGT – Juillet 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/2022-07-12-CGT-comm-syndicale_page-0001.jpg"
"43076","Les 10 mesures d'urgence de la CGT pour les salaires et le pouvoir d’achat","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/Socotec_Salaires_Pouvoir-achat-2022_page-0001.jpg"
"43077","SOPRA-STERIA : Communication CGT – Juillet 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62e8fab425f21.pdf"
"43078","SOPRA-STERIA : Communication CGT CSE – Juillet 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62e8faba08db2.pdf"
"43079","Les 10 mesures d&#39;urgence de la CGT pour les salaires et le pouvoir d’achat","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62e8fabc6dc26.pdf"
"43113","Le lien syndical n°531 – Eté 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/531-Lien-Ete-2022-SITE_page-0001.jpg"
"43114","Le lien syndical n°531 – Eté 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/589/62eb729f4fd4c.pdf"
"43116","Une entreprise de portage salarial et la société cliente condamnées pour délit de marchandage et travail dissimulé","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/62eb768d40865.pdf"
"43117","Une entreprise de portage salarial et la société cliente condamnées pour délit de marchandage et travail dissimulé","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/20220804_CP_Carventura_page-0001.jpg"
"43120","Brève des élus et du RS CGT au CSE HELPLINE - Juillet 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62eb9835303f0.pdf"
"43121","Brève des élus et du RS CGT au CSE HELPLINE - Juillet 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/Breve_CGT_0722_page-0001.jpg"
"43129","SOPRA-STERIA : Communication CGT CSE – Août 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62ebaac9afd2f.pdf"
"43130","SOPRA-STERIA : Communication CGT – Août 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62ebaacbdb247.pdf"
"43132","SOPRA-STERIA : Communication CGT CSE – Août 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/2022-08-CGT-comm-CSE_page-0001.jpg"
"43133","SOPRA-STERIA : Communication CGT – Août 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/2022-08-CGT-comm-syndicale_page-0001.jpg"
"43139","La Bastoche N°205","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/La-Bastoche-n°205-4aout-2022-_page-0001.jpg"
"43140","La Bastoche N°205","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62ebc35d5a376.pdf"
"43230","Le Coquelicot d’Axway – Août 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62f110f69b3f8.pdf"
"43231","Le Coquelicot d’Axway – Août 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/Le-Coquelicot-dAxway-Aout-2022_page-0001.jpg"
"43278","Guide de formation des administrateur.trice.s et conseiller.ère.s en caisse de Sécurité Sociale","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/Guide-Formation-Admin-et-Conseillers-en-caisses-de-Secu_page-0001.jpg"
"43279","Guide de formation des administrateur.trice.s et conseiller.ère.s en caisse de Sécurité Sociale","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/604/62f4a20e5b125.pdf"
"43352","Droit devant n°167","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/08/Droit_devant_167-site_page-0001.jpg"
